日期,開盤價,最高價,最低價,收盤價,成交量
2025-03-03,172.0,175.0,170.0,170.0,70556492
2025-03-04,165.5,172.0,165.0,170.5,71127819
2025-03-05,171.5,175.0,171.5,173.5,45364409
2025-03-06,175.5,176.0,173.5,173.5,28989951
2025-03-07,171.0,174.5,171.0,172.0,32530175
2025-03-10,173.5,174.0,170.0,172.0,36673846
2025-03-11,166.0,169.5,165.0,168.5,69729259
2025-03-12,169.0,171.5,169.0,170.5,41085436
2025-03-13,172.5,174.0,168.0,168.0,35310891
2025-03-14,168.5,170.5,168.0,170.0,33052530
2025-03-17,172.0,172.5,168.0,168.0,50999196
2025-03-18,169.0,169.5,167.0,167.5,40404616
2025-03-19,167.0,167.5,163.5,164.0,80802409
2025-03-20,165.0,167.0,164.5,166.0,37221459
2025-03-21,167.0,167.0,165.0,165.0,55445821
2025-03-24,166.5,167.0,163.0,163.0,42919426
2025-03-25,165.5,166.5,164.0,165.0,34677689
2025-03-26,166.0,167.0,165.0,166.0,19840998
2025-03-27,163.5,164.0,160.0,160.5,68898389
2025-03-28,158.0,158.5,153.0,154.0,111580460
2025-03-31,145.0,149.5,145.0,146.0,130858564
2025-04-01,148.5,153.0,148.0,152.0,61385394
2025-04-02,153.0,154.5,152.0,153.5,38868764
2025-04-07,138.5,138.5,138.5,138.5,30755604
2025-04-08,127.0,130.5,125.0,125.0,308542896
2025-04-09,119.0,122.5,112.5,112.5,366032118
2025-04-10,123.5,123.5,123.5,123.5,36901188
2025-04-11,118.5,135.0,117.0,134.5,297865611
2025-04-14,141.5,145.0,136.0,138.5,214264335
2025-04-15,139.0,140.0,136.0,139.5,86203486
2025-04-16,138.0,139.5,136.0,136.0,61680512
2025-04-17,134.5,135.5,132.0,134.5,64431249
2025-04-18,135.0,136.5,133.5,135.5,26363008
2025-04-21,135.0,137.0,134.5,136.5,32102734
2025-04-22,134.5,136.0,131.5,132.0,44476006
2025-04-23,136.0,139.5,136.0,139.0,65973272
2025-04-24,139.0,139.0,135.5,136.5,46353045
2025-04-25,140.5,141.0,138.5,139.0,57201568
2025-04-28,140.0,143.5,140.0,142.5,47321711
2025-04-29,141.5,143.5,141.0,143.0,40351039
2025-04-30,143.0,144.0,141.5,141.5,42090535
2025-05-02,144.5,148.0,144.0,147.5,60280797
2025-05-05,149.0,149.0,142.0,142.5,66798494
2025-05-06,142.5,146.5,142.0,146.0,53330985
2025-05-07,146.5,148.0,143.5,145.0,43382455
2025-05-08,145.5,146.5,144.5,146.0,29519952
2025-05-09,146.5,147.5,145.5,147.0,30063441
2025-05-12,149.0,153.0,148.5,153.0,59409981
2025-05-13,159.5,161.5,157.0,158.0,95098747
2025-05-14,161.5,163.0,159.5,163.0,71682968
2025-05-15,163.0,163.0,158.5,159.5,71845843
2025-05-16,158.5,159.5,157.0,158.0,34670607
2025-05-19,157.0,158.0,154.0,154.0,53345121
2025-05-20,157.0,158.5,153.5,154.0,41647356
2025-05-21,155.0,156.5,154.5,155.0,29698374
2025-05-22,153.5,154.0,151.5,153.0,37074612
2025-05-23,156.0,156.0,153.0,154.0,22518013
2025-05-26,152.5,155.0,151.0,153.0,28992215
2025-05-27,153.5,155.0,152.0,152.0,27594038
2025-05-28,154.0,154.0,151.5,152.0,31758614
2025-05-29,154.5,158.0,154.0,156.0,91749249
2025-06-02,154.0,154.5,151.0,152.5,55748448
2025-06-03,153.5,155.0,151.5,151.5,38422320
2025-06-04,153.5,156.0,153.0,156.0,39837003
2025-06-05,156.5,157.0,155.5,155.5,34529119
2025-06-06,155.5,155.5,153.0,153.0,24170636
2025-06-09,155.0,155.5,154.0,154.5,18474613
2025-06-10,155.5,156.0,155.0,155.5,33025153
2025-06-11,156.5,157.5,155.5,156.0,27402761
2025-06-12,155.5,158.0,154.0,157.5,33551155
2025-06-13,157.0,158.5,156.0,156.5,37530090
2025-06-16,156.0,157.0,154.5,155.0,21896497
2025-06-17,156.5,157.0,154.5,155.0,25564725
2025-06-18,155.0,156.5,154.0,156.0,38500036
2025-06-19,155.5,156.0,154.0,154.0,20674399
2025-06-20,154.5,155.5,153.0,155.5,60372534
2025-06-23,153.0,156.0,152.0,156.0,49297718
2025-06-24,158.0,162.0,157.5,160.5,67130349
2025-06-25,161.5,162.0,160.0,162.0,48758589
2025-06-26,162.0,164.0,161.5,163.0,65708560
2025-06-27,163.0,165.5,162.5,165.0,75664710
2025-06-30,166.0,166.5,161.0,161.0,62308280
2025-07-01,161.5,166.0,161.0,165.5,103158692
2025-07-02,160.0,162.0,160.0,162.0,66421265
2025-07-03,164.0,164.5,163.0,164.0,46192607
